stem	video_class	fps	width	height	out_width	out_height	n_native_ffprobe	n_extracted	n_sampled	sampled_max_idx	check_indices	check_diffs	check_ok
RipBench-045	rip	29.9700	1920	1080	1280	720	9081	9081	1516	9080	0,4543,9080	2.53,2.47,2.38	1
RipBench-049	rip	29.9700	1280	720	1280	720	483	483	81	482	0,241,482	1.67,1.79,1.72	1
RipBench-050	rip	29.9700	1280	720	1280	720	383	383	65	382	0,191,382	1.70,1.71,1.74	1
RipBench-051	rip	29.9700	1280	720	1280	720	404	404	68	403	0,205,403	1.70,1.70,1.75	1
RipBench-052	rip	29.9700	1280	720	1280	720	317	317	54	316	0,161,316	1.75,1.69,1.67	1
RipBench-054	rip	29.9700	1280	720	1280	720	206	206	35	205	0,102,205	2.42,2.42,2.27	1
RipBench-056	rip	29.9700	1280	720	1280	720	502	502	85	501	0,250,501	2.21,2.05,2.06	1
RipBench-057	rip	29.9700	1280	720	1280	720	478	478	81	477	0,238,477	2.26,2.18,2.45	1
RipBench-058	rip	29.9700	1280	720	1280	720	618	618	104	617	0,311,617	2.23,2.16,2.31	1
RipBench-060	rip	29.9700	1280	720	1280	720	421	421	71	420	0,210,420	2.06,2.22,2.27	1
RipBench-061	rip	29.9700	1280	720	1280	720	252	252	43	251	0,126,251	2.16,2.04,2.01	1
RipBench-062	rip	29.9700	1280	720	1280	720	364	364	62	363	0,184,363	2.26,2.16,2.11	1
RipBench-063	rip	29.9700	1280	720	1280	720	356	356	60	355	0,181,355	2.43,2.22,2.30	1
RipBench-064	rip	29.9700	1280	720	1280	720	986	986	165	985	0,492,985	1.66,1.68,1.71	1
RipBench-065	rip	23.9760	1280	676	1280	676	63	63	14	62	0,33,62	1.91,2.28,2.26	1
RipBench-068	rip	29.9700	1280	720	1280	720	180	180	31	179	0,90,179	2.26,2.17,2.15	1
RipBench-069	rip	29.9700	3840	2160	1280	720	660	660	111	659	0,330,659	2.09,2.13,2.09	1
RipBench-070	rip	29.9700	1280	720	1280	720	120	120	21	119	0,60,119	1.73,1.67,1.66	1
RipBench-071	rip	29.9700	1280	720	1280	720	277	277	47	276	0,138,276	2.40,2.22,2.23	1
RipBench-075	rip	29.9700	1280	720	1280	720	72	72	13	71	0,36,71	2.62,2.85,2.64	1
RipBench-076	rip	30.0000	1280	720	1280	720	1822	1822	305	1821	0,910,1821	2.63,2.30,1.81	1
RipBench-077	rip	30.0000	1280	720	1280	720	2083	2083	348	2082	0,1044,2082	1.94,2.11,1.61	1
RipBench-080	rip	30.0000	1280	720	1280	720	994	994	167	993	0,496,993	2.13,1.67,1.81	1
RipBench-082	rip	29.9700	1280	720	1280	720	145	145	25	144	0,72,144	1.99,1.95,2.00	1
RipBench-083	rip	29.9700	1280	720	1280	720	845	845	142	844	0,425,844	2.20,1.76,1.66	1
RipBench-084	rip	29.9700	1280	720	1280	720	2412	2412	403	2411	0,1206,2411	1.74,1.50,1.57	1
RipBench-085	rip	29.9700	1280	720	1280	720	601	601	101	600	0,300,600	2.40,2.43,2.35	1
RipBench-086	rip	59.9401	2720	1530	1280	720	1322	1322	111	1321	0,660,1321	2.70,2.81,3.21	1
RipBench-087	rip	59.9401	2720	1530	1280	720	2435	2435	204	2434	0,1223,2434	2.56,2.87,3.17	1
RipBench-088	rip	59.9401	2720	1530	1280	720	250	250	22	249	0,130,249	3.33,3.35,3.02	1
RipBench-089	rip	59.9401	2720	1530	1280	720	478	478	41	477	0,238,477	2.37,2.32,2.46	1
RipBench-091	rip	29.9700	1080	1920	720	1280	305	305	52	304	0,155,304	2.39,2.42,2.42	1
RipBench-092	rip	29.9700	1080	1920	720	1280	88	88	16	87	0,46,87	2.39,2.14,2.15	1
RipBench-093	rip	29.9700	1080	1920	720	1280	254	254	43	253	0,126,253	2.58,2.52,2.43	1
RipBench-094	rip	29.9700	1080	1920	720	1280	111	111	19	110	0,55,110	2.05,2.03,2.06	1
RipBench-095	rip	30.0126	1920	1080	720	1280	215	215	44	214	0,109,214	2.62,2.57,3.17	1
RipBench-096	rip	30.0124	1920	1080	720	1280	276	276	56	275	0,140,275	2.25,2.32,2.39	1
RipBench-097	rip	30.0000	1920	1080	1280	720	827	827	139	826	0,413,826	1.94,1.87,1.84	1
RipBench-098	rip	30.0000	1920	1080	1280	720	1063	1063	178	1062	0,534,1062	2.52,2.00,2.03	1
RipBench-100	rip	29.9769	1920	1080	1280	720	913	913	153	912	0,456,912	2.47,2.61,2.95	1
RipBench-101	rip	30.0000	1920	1080	1280	720	1090	1090	183	1089	0,544,1089	2.14,2.10,2.47	1
RipBench-103	rip	30.0000	1920	1080	1280	720	775	775	130	774	0,390,774	2.09,2.01,1.91	1
RipBench-104	rip	30.0000	1920	1080	1280	720	843	843	141	842	0,421,842	2.58,2.70,2.54	1
RipBench-105	rip	30.0000	1920	1080	1280	720	235	235	40	234	0,120,234	2.52,2.51,2.41	1
RipBench-106	rip	30.0000	1920	1080	1280	720	1155	1155	193	1154	0,577,1154	2.43,2.66,2.45	1
RipBench-107	rip	30.0000	1920	1080	1280	720	389	389	66	388	0,197,388	2.33,2.44,2.36	1
RipBench-110	rip	29.9700	1080	1920	720	1280	923	923	155	922	0,461,922	2.05,1.98,2.05	1
RipBench-111	rip	59.9401	2720	1530	1280	720	2939	2939	246	2938	0,1475,2938	2.67,2.67,2.80	1
RipBench-112	rip	59.9401	2720	1530	1280	720	478	478	41	477	0,238,477	3.01,2.81,2.70	1
RipBench-115	rip	59.9401	2720	1530	1280	720	1840	1840	154	1839	0,926,1839	2.90,2.76,2.80	1
RipBench-116	rip	29.9700	720	1280	720	1280	591	591	99	590	0,295,590	1.89,2.05,2.13	1
RipBench-117	rip	29.9700	3840	2160	1280	720	620	620	104	619	0,313,619	2.24,2.15,2.16	1
RipBench-118	rip	29.9700	3840	2160	1280	720	625	625	105	624	0,312,624	2.49,2.22,2.26	1
RipBench-122	rip	29.9700	480	360	480	360	862	862	145	861	0,430,861	2.40,2.36,2.30	1
RipBench-123	rip	30.0000	360	640	360	640	75	75	13	74	0,37,74	2.00,1.89,1.87	1
RipBench-124	rip	30.0000	360	640	360	640	109	109	19	108	0,54,108	1.78,1.99,0.00	1
RipBench-126	rip	50.0000	3840	2160	1280	720	892	892	90	891	0,451,891	2.41,2.44,2.46	1
RipBench-127	rip	25.0000	3840	2160	1280	720	178	178	36	177	0,91,177	3.01,2.61,2.72	1
RipBench-135	rip	24.0000	2560	1440	1280	720	379	379	80	378	0,191,378	2.09,2.22,2.18	1
RipBench-136	rip	23.9760	2160	3840	720	1280	336	336	71	335	0,168,335	2.20,2.11,2.18	1
RipBench-140	rip	23.9760	2730	1440	1280	676	452	452	95	451	0,226,451	2.61,2.49,2.51	1
RipBench-141	rip	25.0000	4096	2160	1280	676	117	117	24	116	0,61,116	2.79,2.49,2.33	1
RipBench-148	rip	29.9700	3840	2160	1280	720	493	493	83	492	0,246,492	2.86,2.84,2.69	1
RipBench-149	rip	29.9700	3840	2160	1280	720	548	548	92	547	0,277,547	2.63,2.77,2.76	1
RipBench-150	rip	29.9700	3840	2160	1280	720	382	382	65	381	0,190,381	2.63,2.60,2.48	1
RipBench-152	rip	30.0000	1920	1080	1280	720	8941	8941	1490	8934	0,4470,8934	1.69,2.30,2.23	1
RipBench-NR-002	no_rip	29.9700	1920	1080	1280	720	2054	2054	343	2049	0,1024,2049	2.95,1.99,1.90	1
RipBench-NR-003	no_rip	29.9700	1280	720	1280	720	929	929	155	923	0,461,923	1.97,1.91,1.86	1
RipBench-NR-006	no_rip	25.0000	3840	2160	1280	720	439	439	88	435	0,220,435	2.39,2.63,2.44	1
RipBench-NR-007	no_rip	29.9700	3840	2160	1280	720	487	487	82	485	0,245,485	3.67,3.48,3.45	1
RipBench-NR-008	no_rip	29.9700	1920	1080	1280	720	1679	1679	281	1678	0,839,1678	2.92,2.34,2.68	1
RipBench-NR-010	no_rip	50.0000	1920	1080	1280	720	799	799	80	790	0,400,790	2.63,2.28,2.52	1
RipBench-NR-011	no_rip	59.9401	768	432	768	432	1831	1831	153	1822	0,911,1822	2.84,2.60,2.45	1
RipBench-NR-012	no_rip	29.9700	1280	720	1280	720	269	269	45	263	0,131,263	2.41,2.03,2.09	1
RipBench-NR-015	no_rip	30.0000	1280	720	1280	720	921	921	154	918	0,462,918	2.36,2.16,2.17	1
RipBench-NR-016	no_rip	30.0000	1280	720	1280	720	926	926	155	924	0,462,924	2.58,2.20,2.11	1
RipBench-NR-017	no_rip	30.0000	1280	720	1280	720	922	922	154	918	0,462,918	2.63,2.12,2.18	1
RipBench-NR-018	no_rip	29.9700	1280	720	1280	720	451	451	76	449	0,227,449	2.16,1.98,1.92	1
RipBench-NR-025	no_rip	30.0000	1920	1080	1280	720	1828	1828	305	1824	0,912,1824	2.67,2.65,2.65	1
RipBench-NR-027	no_rip	30.0000	1920	1080	1280	720	2154	2154	359	2148	0,1074,2148	2.03,2.06,2.02	1
RipBench-NR-028	no_rip	30.0000	1920	1080	1280	720	755	755	126	750	0,378,750	2.52,2.52,2.57	1
RipBench-NR-029	no_rip	30.0000	1920	1080	1280	720	381	381	64	378	0,192,378	2.39,2.39,2.38	1
RipBench-NR-030	no_rip	30.0000	1920	1080	1280	720	437	437	73	432	0,216,432	2.29,2.32,2.19	1
RipBench-NR-031	no_rip	30.0000	1080	1920	720	1280	3179	3179	530	3174	0,1590,3174	1.77,1.89,1.89	1
RipBench-NR-032	no_rip	30.0000	1080	1920	720	1280	5180	5180	864	5178	0,2592,5178	2.03,2.00,1.87	1
RipBench-NR-033	no_rip	30.0000	1080	1920	720	1280	1981	1981	331	1980	0,990,1980	1.89,1.93,2.05	1
RipBench-NR-034	no_rip	30.0000	1080	1920	720	1280	1363	1363	228	1362	0,684,1362	1.82,1.82,1.88	1
RipBench-NR-035	no_rip	30.0000	1920	1080	1280	720	-1	792	132	786	0,396,786	2.92,2.75,2.01	1
RipBench-NR-039	no_rip	29.9700	1920	1080	1280	720	851	851	142	845	0,425,845	1.81,1.96,2.02	1
RipBench-NR-040	no_rip	30.0000	3840	2160	1280	720	202	202	34	198	0,102,198	3.18,3.24,3.24	1
RipBench-NR-041	no_rip	30.0000	3840	2160	1280	720	181	181	31	180	0,90,180	3.23,3.01,2.96	1
RipBench-NR-042	no_rip	25.0000	3840	2160	1280	720	357	357	72	355	0,180,355	2.56,2.54,2.52	1
RipBench-NR-044	no_rip	29.9700	1920	1080	1280	720	106	106	106	105	0,53,105	2.32,2.05,2.00	1
RipBench-NR-048	no_rip	30.0000	1920	1080	1280	720	741	741	124	738	0,372,738	0.00,1.90,1.90	1
RipBench-NR-049	no_rip	23.9760	2562	1440	1280	720	480	480	101	479	0,239,479	1.73,1.80,1.81	1
RipBench-NR-050	no_rip	29.9700	2048	1080	1280	676	408	408	69	407	0,203,407	2.09,1.90,1.77	1
RipBench-NR-057	no_rip	25.0000	3840	2160	1280	720	884	884	177	880	0,440,880	2.39,2.45,2.40	1
RipBench-NR-058	no_rip	23.9760	1920	1080	1280	720	236	236	50	234	0,119,234	2.25,2.13,2.19	1
RipBench-NR-061	no_rip	25.0000	3840	2160	1280	720	423	423	85	420	0,210,420	2.54,2.33,2.24	1
RipBench-NR-064	no_rip	29.9700	3840	2160	1280	720	698	698	117	695	0,347,695	4.36,3.53,3.62	1
RipBench-NR-066	no_rip	23.9760	3840	2160	1280	720	426	426	89	421	0,210,421	3.24,3.28,3.12	1
RipBench-NR-068	no_rip	23.9760	3840	2160	1280	720	1153	1153	241	1150	0,575,1150	4.11,2.83,3.52	1
RipBench-NR-069	no_rip	29.9700	1280	720	1280	720	1149	1149	192	1144	0,575,1144	2.34,2.41,2.37	1
RipBench-NR-070	no_rip	29.9700	3840	2160	1280	720	326	326	55	323	0,161,323	2.18,2.13,2.13	1
RipBench-NR-071	no_rip	30.0000	1920	1080	1280	720	325	325	55	324	0,162,324	1.98,1.96,1.95	1
RipBench-NR-075	no_rip	30.0000	1920	1080	1280	720	405	405	68	402	0,204,402	2.46,2.31,2.30	1
RipBench-NR-076	no_rip	30.0000	1920	1080	1280	720	334	334	56	330	0,168,330	2.37,2.34,2.35	1
RipBench-NR-078	no_rip	30.0000	1920	1080	1280	720	415	415	70	414	0,210,414	2.11,2.01,1.96	1
RipBench-NR-084	no_rip	25.0000	2560	1440	1280	720	750	750	150	745	0,375,745	2.64,2.71,2.71	1
RipBench-NR-085	no_rip	29.9700	3840	2160	1280	720	609	609	102	605	0,305,605	2.11,1.99,1.99	1
RipBench-NR-091	no_rip	60.0000	1080	1920	720	1280	-1	827	69	816	0,408,816	2.01,2.00,2.05	1
RipBench-NR-097	no_rip	29.9700	3840	2160	1280	720	-1	1881	314	1876	0,941,1876	2.01,1.95,1.98	1
RipBench-NR-098	no_rip	23.9760	3840	2160	1280	720	-1	142	30	139	0,71,139	3.57,3.56,3.60	1
RipBench-NR-099	no_rip	30.0000	3840	2160	1280	720	-1	317	53	312	0,156,312	1.64,1.66,1.66	1
RipBench-NR-100	no_rip	24.0000	1920	1080	1280	720	-1	419	88	417	0,211,417	2.29,2.26,2.19	1
RipBench-NR-103	no_rip	59.9401	2560	1440	1280	720	782	782	66	779	0,395,779	2.62,2.60,2.53	1
RipBench-NR-105	no_rip	60.0000	3840	2160	1280	720	-1	806	68	804	0,408,804	3.38,3.45,3.42	1
RipBench-NR-108	no_rip	30.0000	1440	2560	720	1280	-1	566	95	564	0,282,564	2.46,2.28,1.92	1
RipBench-NR-109	no_rip	23.9760	3840	2160	1280	720	360	360	76	359	0,182,359	3.71,3.34,3.35	1
RipBench-NR-110	no_rip	29.9700	3840	2160	1280	720	-1	66	12	65	0,35,65	3.97,4.00,4.00	1
RipBench-NR-111	no_rip	59.9401	2560	1440	1280	720	316	316	27	311	0,155,311	2.29,2.25,2.20	1
RipBench-NR-112	no_rip	29.9700	2560	1440	1280	720	-1	1790	299	1786	0,893,1786	1.70,1.50,1.70	1
RipBench-NR-115	no_rip	59.9401	3840	2160	1280	720	-1	1124	94	1114	0,563,1114	3.55,3.58,3.92	1
RipBench-NR-117	no_rip	60.0000	3840	2160	1280	720	-1	3108	259	3096	0,1548,3096	2.13,2.08,2.13	1
RipBench-NR-122	no_rip	30.0000	1920	1080	1280	720	366	366	61	360	0,180,360	2.23,2.14,2.29	1
RipBench-NR-123	no_rip	29.9700	1080	1920	720	1280	472	472	79	467	0,233,467	2.06,1.87,1.98	1
RipBench-NR-124	no_rip	24.0000	3840	2160	1280	720	115	115	24	110	0,57,110	2.25,2.31,2.45	1
RipBench-NR-125	no_rip	25.0000	3840	2160	1280	720	559	559	112	555	0,280,555	2.84,2.68,2.71	1
RipBench-NR-130	no_rip	29.9700	2560	1440	1280	720	199	199	34	197	0,101,197	3.03,2.77,2.81	1
RipBench-NR-131	no_rip	25.0000	3840	2160	1280	720	1503	1503	301	1500	0,750,1500	2.61,2.50,2.60	1
RipBench-NR-133	no_rip	29.9700	1920	1080	1280	720	579	579	97	575	0,287,575	3.08,2.67,2.59	1
RipBench-NR-135	no_rip	29.9700	2160	3840	720	1280	654	654	110	653	0,329,653	3.33,2.82,2.74	1
RipBench-NR-136	no_rip	59.9401	3840	2160	1280	720	1556	1556	130	1546	0,779,1546	2.71,2.74,2.73	1
RipBench-NR-138	no_rip	29.9700	3840	2160	1280	720	501	501	84	497	0,251,497	2.07,2.28,2.13	1
RipBench-NR-139	no_rip	29.9700	3840	2160	1280	720	600	600	101	599	0,299,599	2.92,2.86,2.83	1
RipBench-NR-140	no_rip	29.9700	1280	720	1280	720	299	299	50	293	0,149,293	1.89,1.91,1.89	1
RipBench-NR-143	no_rip	29.9700	3840	2160	1280	720	1174	1174	196	1168	0,587,1168	2.53,2.86,2.77	1
RipBench-NR-146	no_rip	29.9700	4096	2160	1280	676	1544	1544	258	1540	0,773,1540	2.10,2.16,2.29	1
RipBench-NR-147	no_rip	29.9700	3840	2160	1280	720	392	392	66	389	0,197,389	2.36,2.28,2.26	1
RipBench-NR-149	no_rip	25.0000	3840	2160	1280	720	537	537	108	535	0,270,535	2.23,2.45,2.35	1
